key,length,raw_angle,x0,y0,date,time,cam_angle
20160816_1226_1/30,71,5.374596897,57,72.4,16-08-16,12:26:24:179,-5.374596897
20160816_1226_1/28,24,5.045097467,60.1,110.9,16-08-16,12:26:24:459,-5.045097467
20160816_1226_1/31,40,5.702945426,62.3,40.5,16-08-16,12:26:25:495,-5.702945426
20160816_1226_1/34,23,5.551007503,62.9,112.4,16-08-16,12:26:26:174,-5.551007503
20160816_1226_1/33,23,5.551007503,62.9,112.4,16-08-16,12:26:26:174,-5.551007503
20160816_1226_1/35,45,5.477365514,65,41.5,16-08-16,12:26:27:636,-5.477365514
20160816_1226_1/36,31,5.746392889,56.8,74.3,16-08-16,12:26:28:260,-5.746392889
20160816_1226_1/37,40,5.242117001,66.5,40.8,16-08-16,12:26:30:299,-5.242117001
20160816_1226_1/38,71,5.335315993,58.2,73.3,16-08-16,12:26:30:706,-5.335315993
20160816_1226_1/39,68,5.604522223,85,75.8,16-08-16,12:26:32:395,-5.604522223
20160816_1226_1/40,67,5.601427499,86.3,74.2,16-08-16,12:26:32:411,-5.601427499
20160816_1226_1/41,67,2.459834846,86.3,74.2,16-08-16,12:26:32:411,-2.459834846
20160816_1226_1/42,26,2.120662303,65.7,46.4,16-08-16,12:26:33:520,-2.120662303
20160816_1226_1/43,61,5.272417883,90.3,74,16-08-16,12:26:35:450,-5.272417883
20160816_1226_1/44,42,5.74855537,64.8,49.3,16-08-16,12:26:36:036,-5.74855537
20160816_1226_0/7,30,3.962803788,62.8,25,16-08-16,12:26:36:453,-0.821211135
20160816_1226_1/46,75,5.570496682,82.5,72.3,16-08-16,12:26:38:048,-5.570496682
20160816_1226_1/47,32,5.264398325,63.8,50.6,16-08-16,12:26:38:674,-5.264398325
20160816_1226_1/48,85,5.558544134,78.5,75,16-08-16,12:26:40:576,-5.558544134
20160816_1226_1/50,66,5.591025032,62.6,57.6,16-08-16,12:26:41:252,-5.591025032
20160816_1226_1/52,36,5.501230745,82.6,74.4,16-08-16,12:26:45:391,-5.501230745
20160816_1226_1/54,44,6.20670024,56.2,81.8,16-08-16,12:26:46:830,-6.20670024
20160816_1226_1/55,26,1.280364466,95.8,86,16-08-16,12:26:48:238,-1.280364466
20160816_1226_1/56,73,5.365262369,79.8,76,16-08-16,12:26:49:688,-5.365262369
20160816_1226_1/59,45,4.76616973,71.5,111.3,16-08-16,12:26:53:552,-4.76616973
20160816_1226_1/61,24,4.581373743,70.6,109.4,16-08-16,12:26:59:020,-4.581373743
20160816_1227_1/1,27,4.401830699,69.5,107.5,16-08-16,12:27:01:490,-4.401830699
20160816_1227_1/3,28,3.680615817,69.5,110.3,16-08-16,12:27:02:931,-3.680615817
20160816_1227_1/4,28,4.386244885,74.2,103.6,16-08-16,12:27:04:347,-4.386244885
20160816_1227_1/5,39,4.202944073,72.2,99.2,16-08-16,12:27:05:938,-4.202944073
20160816_1227_1/6,31,0.837953894,93.8,94.3,16-08-16,12:27:06:540,-0.837953894
20160816_1227_1/7,30,0.791643557,94.6,95.7,16-08-16,12:27:06:556,-0.791643557
20160816_1227_1/9,34,0.597390712,89.5,90.5,16-08-16,12:27:08:377,-0.597390712
20160816_1227_1/10,68,5.393672233,71.1,56.8,16-08-16,12:27:08:539,-5.393672233
20160816_1227_1/11,22,1.769681146,58.5,101,16-08-16,12:27:09:716,-1.769681146
20160816_1227_1/13,72,5.629126025,68.2,58.8,16-08-16,12:27:10:910,-5.629126025
20160816_1227_1/12,36,4.590131496,76,101,16-08-16,12:27:11:119,-4.590131496
20160816_1227_1/14,70,5.07505214,69,58.8,16-08-16,12:27:12:813,-5.07505214
